iter	Logloss
0	0.640894225
1	0.6024669079
2	0.5652905838
3	0.5349352489
4	0.5071820345
5	0.4844614782
6	0.463721159
7	0.447133046
8	0.4323731497
9	0.4202319073
10	0.4082637403
11	0.3988098093
12	0.3902016198
13	0.3819712587
14	0.3756721806
15	0.3701022173
16	0.3645614737
17	0.3598731629
18	0.3558080608
19	0.3521046506
20	0.3487143626
21	0.3457308453
22	0.3426927404
23	0.340206513
24	0.336684995
25	0.3349210711
26	0.3331537899
27	0.330571649
28	0.3288924929
29	0.3274943106
30	0.3255152172
31	0.3243556924
32	0.3234174237
33	0.3224592195
34	0.3216994146
35	0.3203624174
36	0.3194719824
37	0.3187236708
38	0.3176782357
39	0.3171257595
40	0.3162277162
41	0.3157434311
42	0.3153040727
43	0.3148327749
44	0.3145115633
45	0.3138444756
46	0.3133780106
47	0.3131156583
48	0.3124699644
49	0.3121872498
50	0.3118794255
51	0.3116079133
52	0.3111449683
53	0.3108576832
54	0.3106716986
55	0.3102636896
56	0.3100777077
57	0.3097234304
58	0.3095481798
59	0.3094014205
60	0.3091343919
61	0.3087376599
62	0.3085216908
63	0.3083208406
64	0.3081564054
65	0.3078564744
66	0.3077622258
67	0.307488187
68	0.3073422762
69	0.3072232976
70	0.3071124595
71	0.306994927
72	0.3069124696
73	0.3068093026
74	0.3065560068
75	0.3064704538
76	0.3063600892
77	0.3062685845
78	0.3061751425
79	0.3060106082
80	0.305950892
81	0.3058739639
82	0.3057770746
83	0.3056882276
84	0.3056254666
85	0.3055345998
86	0.3053339604
87	0.3052664912
88	0.305068522
89	0.3049932272
90	0.3049387135
91	0.3048886496
92	0.3047394823
93	0.3046920966
94	0.3046196072
95	0.3045696313
96	0.3045095642
97	0.3044083206
98	0.3043513534
99	0.3042864836
100	0.3042424472
101	0.3041875533
102	0.3041399058
103	0.3041083105
104	0.3040623935
105	0.3040233002
106	0.3039803754
107	0.3039455811
108	0.3039009699
109	0.3038542114
110	0.3037958918
111	0.3036928882
112	0.3036528847
113	0.3035740728
114	0.3035336088
115	0.3035043648
116	0.3034644419
117	0.3034386525
118	0.3033716685
119	0.3033423082
120	0.3032977064
121	0.3032690141
122	0.3032025097
123	0.3031783672
124	0.3031490125
125	0.3031226221
126	0.3030906037
127	0.3030600524
128	0.3030308251
129	0.3030151415
130	0.3029410261
131	0.3029145139
132	0.3028640018
133	0.3028351956
134	0.3028125641
135	0.3027364669
136	0.3027120611
137	0.3026838346
138	0.3026276756
139	0.3026032158
140	0.3025470246
141	0.3025203281
142	0.302481951
143	0.3024461028
144	0.3024172741
145	0.3023991949
146	0.3023667882
147	0.3023389182
148	0.3023166073
149	0.3022918516
150	0.3022694472
151	0.30225088
152	0.3022244004
153	0.3022035288
154	0.3021615154
155	0.3021379332
156	0.3021277323
157	0.302108927
158	0.3020921603
159	0.3020642057
160	0.3020204506
161	0.3020015501
162	0.3019870506
163	0.3019739314
164	0.3019308501
165	0.3019081163
166	0.3018917226
167	0.3018707345
168	0.3018580335
169	0.3018418757
170	0.3017961748
171	0.3017775956
172	0.3017622617
173	0.3017299929
174	0.3017125303
175	0.3016928691
176	0.3016806338
177	0.3016630536
178	0.3016377552
179	0.3016185693
180	0.301606119
181	0.3015674229
182	0.3015471443
183	0.3015246175
184	0.3015100987
185	0.301490326
186	0.3014783584
187	0.3014668442
188	0.3014477207
189	0.3014297413
190	0.301416892
191	0.301402761
192	0.30139222
193	0.3013787552
194	0.3013718682
195	0.3013580329
196	0.3013497689
197	0.3013348245
198	0.3013171608
199	0.3012846724
200	0.3012686388
201	0.3012568042
202	0.3012410139
203	0.3012165965
204	0.3011992997
205	0.301181832
206	0.3011503082
207	0.3011382504
208	0.3011293119
209	0.3011136739
210	0.3011009471
211	0.3010878141
212	0.3010750042
213	0.3010630035
214	0.3010507726
215	0.3010398473
216	0.3010268976
217	0.3010173636
218	0.3010031018
219	0.300992832
220	0.3009744018
221	0.3009478579
222	0.3009297627
223	0.3009210765
224	0.3009079473
225	0.300893369
226	0.3008792076
227	0.3008634054
228	0.3008501822
229	0.3008374703
230	0.3008181223
231	0.3007949818
232	0.3007838203
233	0.3007702357
234	0.3007534269
235	0.3007418525
236	0.3007310297
237	0.3007180431
238	0.3007050573
239	0.300695246
240	0.3006892763
241	0.3006789931
242	0.3006683523
243	0.300660788
244	0.3006507911
245	0.3006340006
246	0.3006258378
247	0.3006181938
248	0.3006079594
249	0.3005964955
250	0.3005837981
251	0.30056911
252	0.3005585593
253	0.3005443739
254	0.3005358499
255	0.300528433
256	0.3005191514
257	0.3004922102
258	0.300469867
259	0.3004602985
260	0.3004463174
261	0.3004327506
262	0.3004226094
263	0.3004129045
264	0.3004015594
265	0.3003917916
266	0.3003806387
267	0.3003700481
268	0.300359316
269	0.3003489653
270	0.3003358201
271	0.3003230849
272	0.3003122211
273	0.3003024999
274	0.3002882684
275	0.3002650277
276	0.3002553132
277	0.3002459388
278	0.3002342937
279	0.3002238152
280	0.3002151723
281	0.3002058361
282	0.30019715
283	0.3001899595
284	0.3001767232
285	0.3001679998
