iter	Passed	Remaining
0	100	301366
1	199	298905
2	307	307254
3	431	322837
4	584	349928
5	846	422557
6	1031	440996
7	1147	429137
8	1239	412089
9	1341	401018
10	1431	389020
11	1513	376920
12	1600	367856
13	1691	360748
14	1778	353881
15	1872	349228
16	1966	345018
17	2080	344730
18	2205	345989
19	2322	346110
20	2453	348074
21	2603	352462
22	2738	354487
23	2859	354617
24	3000	357106
25	3105	355245
26	3232	355983
27	3372	357928
28	3499	358543
29	3617	358098
30	3744	358656
31	3842	356379
32	3936	353918
33	4037	352183
34	4121	349116
35	4211	346705
36	4300	344403
37	4384	341797
38	4474	339718
39	4554	337040
40	4643	335147
41	4726	332866
42	4806	330532
43	4894	328846
44	4985	327412
45	5079	326193
46	5174	325086
47	5260	323546
48	5372	323580
49	5469	322720
50	5563	321684
51	5651	320369
52	5754	319944
53	5853	319326
54	5955	318912
55	6054	318280
56	6142	317154
57	6252	317138
58	6371	317581
59	6464	316740
60	6562	316180
61	6650	315131
62	6747	314551
63	6840	313789
64	6933	313052
65	7019	312070
66	7098	310754
67	7183	309744
68	7268	308744
69	7343	307369
70	7426	306372
71	7512	305528
72	7593	304485
73	7678	303604
74	7758	302568
75	7839	301596
76	7925	300844
77	8016	300318
78	8105	299705
79	8203	299436
80	8297	299029
81	8402	299020
82	8521	299482
83	8627	299480
84	8725	299242
85	8829	299188
86	8940	299360
87	9049	299462
88	9147	299184
89	9251	299139
90	9343	298668
91	9427	297996
92	9511	297307
93	9593	296595
94	9680	296025
95	9761	295277
96	9849	294764
97	9941	294378
98	10055	294655
99	10174	295072
100	10282	295127
101	10403	295579
102	10519	295867
103	10638	296232
104	10750	296418
105	10867	296715
106	10981	296912
107	11081	296730
108	11183	296615
109	11283	296445
110	11377	296128
111	11477	295946
112	11580	295860
113	11676	295597
114	11776	295428
115	11865	295000
116	11965	294832
117	12065	294685
118	12162	294463
119	12257	294172
120	12356	294011
121	12455	293833
122	12574	294114
123	12666	293788
124	12781	293976
125	12888	293975
126	13007	294245
127	13134	294699
128	13269	295323
129	13396	295750
130	13676	299527
131	14059	305482
132	14303	308322
133	14498	310089
134	14680	311542
135	14849	312705
136	15076	315075
137	15255	316381
138	15411	317209
139	15553	317732
140	15683	318010
141	15817	318352
142	15943	318544
143	16051	318353
144	16157	318134
145	16255	317763
146	16359	317510
147	16463	317254
148	16574	317140
149	16670	316735
150	16769	316406
151	16871	316110
152	16971	315798
153	17078	315623
154	17204	315785
155	17319	315755
156	17444	315886
157	17567	315995
158	17682	315954
159	17798	315930
160	17915	315912
161	18027	315819
162	18156	316009
163	18269	315927
164	18382	315843
165	18490	315669
166	18601	315565
167	18722	315609
168	18834	315497
169	18935	315221
170	19050	315169
171	19167	315151
172	19288	315197
173	19407	315200
174	19575	316009
175	19701	316127
176	19825	316204
177	19941	316144
178	20056	316083
179	20181	316170
180	20287	315974
181	20388	315693
182	20503	315617
183	20608	315403
184	20719	315273
185	20840	315296
186	20951	315168
187	21056	314951
188	21172	314905
189	21292	314899
190	21402	314765
191	21505	314511
192	21613	314342
193	21725	314240
194	21841	314184
195	21946	313964
196	22051	313759
197	22159	313584
198	22275	313532
199	22474	314644
200	22627	315098
201	22752	315157
202	22888	315368
203	23077	316293
204	23312	317845
205	23540	319280
206	23780	320860
207	23957	321588
208	24274	324163
209	24607	326928
210	24902	329158
211	25125	330426
212	25294	330971
213	25449	331325
214	25739	333415
215	25891	333718
216	26073	334392
217	26284	335433
218	26479	336251
219	26647	336723
220	26844	337556
221	27049	338481
222	27236	339171
223	27421	339827
224	27562	339936
225	27682	339778
226	27798	339585
227	27906	339279
228	28050	339427
229	28249	340225
230	28476	341353
231	28697	342388
232	28845	342555
233	28995	342741
234	29160	343102
235	29323	343438
236	29465	343510
237	29588	343377
238	29691	343001
239	29814	342867
240	29911	342431
241	30023	342170
242	30144	342014
243	30242	341594
244	30365	341461
245	30472	341143
246	30582	340864
247	30691	340580
248	30809	340393
249	30915	340066
250	31027	339815
251	31141	339594
252	31256	339372
253	31408	339559
254	31555	339686
255	31728	340090
256	31892	340397
257	32020	340315
258	32168	340434
259	32318	340587
260	32447	340508
261	32555	340212
262	32666	339955
263	32805	339982
264	32917	339732
265	33024	339433
266	33219	340029
267	33357	340043
268	33477	339874
269	33589	339622
270	33692	339291
271	33806	339055
272	33954	339166
273	34069	338951
274	34179	338691
275	34294	338467
276	34420	338363
277	34531	338107
278	34645	337888
279	34745	337526
280	34850	337217
281	34959	336948
282	35082	336812
283	35232	336943
284	35376	337006
285	35528	337148
286	35689	337375
287	35835	337448
288	36001	337720
289	36164	337946
290	36270	337652
291	36380	337389
292	36491	337145
293	36604	336912
294	36712	336634
295	36827	336425
296	36923	336043
297	37022	335687
298	37134	335451
299	37250	335257
300	37354	334950
301	37465	334712
302	37577	334480
303	37709	334422
304	37860	334539
305	38010	334642
306	38162	334759
307	38355	335233
308	38540	335635
309	38689	335725
310	38822	335673
311	38968	335725
312	39127	335892
313	39276	335974
314	39437	336158
315	39669	336939
316	39831	337124
317	39981	337200
318	40122	337208
319	40256	337149
320	40401	337181
321	40567	337392
322	40733	337596
323	40882	337656
324	41058	337941
325	41199	337940
326	41347	337985
327	41511	338162
328	41668	338284
329	41806	338253
330	41943	338209
331	42084	338193
332	42230	338226
333	42454	338873
